"NAFO_Zones","ssp","mean_vulnerability","sd_vulnerability","mean_s_thermal_safety_margin","sd_s_thermal_safety_margin","ci_s_thermal_safety_margin","mean_e_climate_velocity","sd_e_climate_velocity","mean_yr_climate_emergence","sd_yr_climate_emergence","ci_yr_climate_emergence","mean_e_time_climate_emergence","sd_e_time_climate_emergence","ci_e_time_climate_emergence","mean_ac_thermal_habitat_variability","sd_ac_thermal_habitat_variability","ci_ac_thermal_habitat_variability"
"2JHG","SSP1-2.6",0.333905351636508,0.0360885126957321,0.0430504842730159,0.0236392896007869,0.00184595120869983,0.00476237527292942,0.0095247323188438,2095.78082421127,0.684137589211606,0.0534231201973224,0.0695675350904762,0.00211049392106709,0.000164804817333333,0.498739036598413,0.167453180172938,0.0130761290022259
"2JHG","SSP5-8.5",0.367730189903175,0.0369239983538986,0.0430504842730159,0.0236392896007869,0.00184595120869983,0.0377987280857143,0.0497242073303807,2095.48581057936,2.5778975447607,0.201303557298817,0.0705644134365079,0.00926934381098067,0.000723827014292532,0.498739036598413,0.167453180172938,0.0130761290022259
"3KL","SSP1-2.6",0.327008682826433,0.0355026942619264,0.317628180990446,0.209695851368842,0.016400839853065,0.0110760599844032,0.0132772046702042,2095.80808090525,0,0,0.069483451,0,0,0.712015315409236,0.100732096142102,0.00787851054804242
"3KL","SSP5-8.5",0.364173177426752,0.0359710148635886,0.317628180990446,0.209695851368842,0.016400839853065,0.0974215183980892,0.104627557276227,2094.42321310248,4.30567811443648,0.336757912723362,0.0736002490414013,0.0134444606432376,0.00105152507539469,0.712015315409236,0.100732096142102,0.00787851054804242
"3NOPs","SSP1-2.6",0.39949558310582,0.0300334252529977,0.947574143875661,0.107952734087813,0.01088287942478,0.0213547657480106,0.0379591791808068,2082.66340661347,23.2309214764417,2.34194455092723,0.156422721198413,0.168061956290712,0.0169425815998018,0.849985048224868,0.0165609309550031,0.00166953265490062
"3NOPs","SSP5-8.5",0.438066749457672,0.026672650994657,0.947574143875661,0.107952734087813,0.01088287942478,0.0769963388753316,0.100402997632115,2063.50889851063,13.9216084278147,1.40345853395124,0.225996525378307,0.125393840918212,0.0126411439492852,0.849985048224868,0.0165609309550031,0.00166953265490062
"4RST","SSP1-2.6",0.40229901891224,0.0478427645537135,0.731607641200924,0.228463195525613,0.0215193114011219,0.036788733099537,0.0635307477075067,2082.63477739652,22.6656297339179,2.13491167898868,0.1590773506097,0.198484927332424,0.0186956106863025,0.715017171510393,0.0648511116915269,0.00610842925482255
"4RST","SSP5-8.5",0.438294467006928,0.0485284412383549,0.731607641200924,0.228463195525613,0.0215193114011219,0.0920405487847222,0.108886660308788,2062.72668952258,17.9062295568471,1.68661621390377,0.250378299198614,0.185644223135638,0.0174861243548844,0.715017171510393,0.0648511116915269,0.00610842925482255
"4VW","SSP1-2.6",0.407063412524691,0.0297809444909086,0.999369914537037,0.00776190317065891,0.000845185011916193,0.0461398274558443,0.093863715695773,2068.01783265267,26.5256190845826,2.88834518921011,0.256583297728395,0.232288030014866,0.0252935854905076,0.832592877648148,0.0458081945665615,0.00498800340835892
"4VW","SSP5-8.5",0.448600535632716,0.0282552253055954,0.999369914537037,0.00776190317065891,0.000845185011916193,0.0938234094925909,0.146420496280918,2049.49619653581,15.0669046743,1.64061850897933,0.366416063608025,0.215453668120163,0.02346051052864,0.832592877648148,0.0458081945665615,0.00498800340835892
"4X","SSP1-2.6",0.429840117375758,0.034324436324331,0.800276717884848,0.269562814631201,0.0411314558488173,0.0603151581158537,0.120126682537438,2036.95286195889,23.9358991848438,3.65227815961969,0.607094736090909,0.322455157809322,0.0492020759792229,0.806136896266667,0.0444430611937415,0.00678137973806821
"4X","SSP5-8.5",0.481624725581818,0.0511999160354322,0.800276717884848,0.269562814631201,0.0411314558488173,0.120608138341463,0.183887082481454,2029.30058157023,15.5438853878009,2.37177607906386,0.695551703654545,0.280662101670821,0.04282504936411,0.806136896266667,0.0444430611937415,0.00678137973806821
"5YZ6A","SSP1-2.6",0.467520375333333,0.0375619474399516,0.918944396625,0.204111794682477,0.0816617254177798,0.0451403325416667,0.101602546727594,2020.38720538723,8.23667565431427,3.29535657987954,0.864281270458333,0.20159243199523,0.0806537704178551,0.781846357625,0.0411655483722397,0.0164696494539948
"5YZ6A","SSP5-8.5",0.515258254791667,0.034691344896455,0.918944396625,0.204111794682477,0.0816617254177798,0.0758811144166667,0.111452715132974,2016.97811447848,5.77944798299696,2.31226076370567,0.9500009845,0.131363033433307,0.052556159152709,0.781846357625,0.0411655483722397,0.0164696494539948
