"ZONE","most_frequent_overall_risk","most_frequent_s_thermal_safety_margin_risk","most_frequent_e_climate_velocity_risk","most_frequent_e_time_of_climate_emergence_risk","most_frequent_ac_thermal_habitat_availability_risk"
"2G","Moderate","Low","Low","Low","Critical"
"2H","Moderate","Low","Low","Low","High"
"2J","Moderate","Low","Low","Low","Moderate"
"3K","Moderate","Low","Low","Low","Moderate"
"3L","Moderate","Moderate","Low","Low","Low"
"3N","High","Critical","Low","Low","Low"
"3O","Moderate","Critical","Low","High","Low"
"3Pn","Moderate","Critical","Moderate","Low","Low"
"3Ps","Moderate","Critical","Low","Low","Low"
"4R","Moderate","Critical","Low","Low","Low"
"4S","Moderate","High","Low","Low","Moderate"
"4T","High","Critical","Low","High","Moderate"
"4Vn","Moderate","Critical","Low","High","Low"
"4Vs","Moderate","Critical","Low","High","Low"
"4W","High","Critical","Low","Critical","Low"
"4X","High","Critical","Low","Critical","Low"
"5Y","High","Moderate","Low","Critical","Low"
"5Ze","High","Critical","Low","Critical","Low"
